starttime	seconds	ctime	dtime	ttime	wait
Thu Jan 25 13:25:24 2018	1516886724	0	2	2	2
Thu Jan 25 13:25:18 2018	1516886718	0	2	2	2
Thu Jan 25 13:25:18 2018	1516886718	0	2	2	2
Thu Jan 25 13:25:18 2018	1516886718	0	2	2	2
Thu Jan 25 13:25:18 2018	1516886718	0	2	2	2
Thu Jan 25 13:25:18 2018	1516886718	0	2	2	2
Thu Jan 25 13:25:18 2018	1516886718	0	2	2	2
Thu Jan 25 13:25:18 2018	1516886718	0	2	2	2
Thu Jan 25 13:25:18 2018	1516886718	0	2	2	2
Thu Jan 25 13:25:18 2018	1516886718	0	2	2	2
Thu Jan 25 13:25:18 2018	1516886718	0	2	2	2
Thu Jan 25 13:25:18 2018	1516886718	0	2	2	2
Thu Jan 25 13:25:18 2018	1516886718	0	2	2	2
Thu Jan 25 13:25:18 2018	1516886718	0	2	2	2
Thu Jan 25 13:25:18 2018	1516886718	0	2	2	2
Thu Jan 25 13:25:18 2018	1516886718	0	2	2	2
Thu Jan 25 13:25:18 2018	1516886718	0	2	2	2
Thu Jan 25 13:25:18 2018	1516886718	0	2	2	2
Thu Jan 25 13:25:18 2018	1516886718	0	2	2	2
Thu Jan 25 13:25:18 2018	1516886718	0	2	2	2
Thu Jan 25 13:25:18 2018	1516886718	0	2	2	2
Thu Jan 25 13:25:18 2018	1516886718	0	2	2	2
Thu Jan 25 13:25:18 2018	1516886718	0	2	2	2
Thu Jan 25 13:25:18 2018	1516886718	0	2	2	2
Thu Jan 25 13:25:18 2018	1516886718	0	2	2	2
Thu Jan 25 13:25:18 2018	1516886718	0	2	2	2
Thu Jan 25 13:25:18 2018	1516886718	0	2	2	2
Thu Jan 25 13:25:18 2018	1516886718	0	2	2	2
Thu Jan 25 13:25:18 2018	1516886718	0	2	2	2
Thu Jan 25 13:25:18 2018	1516886718	0	2	2	2
Thu Jan 25 13:25:18 2018	1516886718	0	2	2	2
Thu Jan 25 13:25:18 2018	1516886718	0	2	2	2
Thu Jan 25 13:25:18 2018	1516886718	0	2	2	2
Thu Jan 25 13:25:18 2018	1516886718	0	2	2	2
Thu Jan 25 13:25:18 2018	1516886718	0	2	2	2
Thu Jan 25 13:25:18 2018	1516886718	0	2	2	2
Thu Jan 25 13:25:18 2018	1516886718	0	2	2	2
Thu Jan 25 13:25:18 2018	1516886718	0	2	2	2
Thu Jan 25 13:25:18 2018	1516886718	0	2	2	2
Thu Jan 25 13:25:18 2018	1516886718	0	2	2	2
Thu Jan 25 13:25:18 2018	1516886718	0	2	2	2
Thu Jan 25 13:25:18 2018	1516886718	0	2	2	2
Thu Jan 25 13:25:18 2018	1516886718	0	2	2	2
Thu Jan 25 13:25:18 2018	1516886718	0	2	3	2
Thu Jan 25 13:25:18 2018	1516886718	0	2	3	2
Thu Jan 25 13:25:19 2018	1516886719	0	3	3	3
Thu Jan 25 13:25:24 2018	1516886724	0	4	4	3
Thu Jan 25 13:25:19 2018	1516886719	0	4	4	4
Thu Jan 25 13:25:19 2018	1516886719	0	4	4	4
Thu Jan 25 13:25:19 2018	1516886719	0	4	4	4
Thu Jan 25 13:25:19 2018	1516886719	0	4	4	4
Thu Jan 25 13:25:19 2018	1516886719	0	4	4	4
Thu Jan 25 13:25:19 2018	1516886719	0	4	4	4
Thu Jan 25 13:25:24 2018	1516886724	0	4	4	4
Thu Jan 25 13:25:24 2018	1516886724	0	4	4	4
Thu Jan 25 13:25:24 2018	1516886724	0	4	4	4
Thu Jan 25 13:25:19 2018	1516886719	0	4	4	4
Thu Jan 25 13:25:24 2018	1516886724	0	4	4	4
Thu Jan 25 13:25:24 2018	1516886724	0	4	4	4
Thu Jan 25 13:25:24 2018	1516886724	0	4	4	4
Thu Jan 25 13:25:19 2018	1516886719	1	4	4	4
Thu Jan 25 13:25:19 2018	1516886719	0	4	4	4
Thu Jan 25 13:25:24 2018	1516886724	0	4	4	4
Thu Jan 25 13:25:19 2018	1516886719	0	4	4	4
Thu Jan 25 13:25:24 2018	1516886724	0	4	4	4
Thu Jan 25 13:25:19 2018	1516886719	0	4	4	4
Thu Jan 25 13:25:24 2018	1516886724	0	5	5	5
Thu Jan 25 13:25:24 2018	1516886724	0	5	5	5
Thu Jan 25 13:25:19 2018	1516886719	0	5	5	5
Thu Jan 25 13:25:19 2018	1516886719	0	5	5	5
Thu Jan 25 13:25:19 2018	1516886719	0	5	5	5
Thu Jan 25 13:25:24 2018	1516886724	0	5	5	5
Thu Jan 25 13:25:24 2018	1516886724	0	5	5	5
Thu Jan 25 13:25:20 2018	1516886720	0	6	6	5
Thu Jan 25 13:25:20 2018	1516886720	0	6	6	5
Thu Jan 25 13:25:19 2018	1516886719	0	6	6	6
Thu Jan 25 13:25:24 2018	1516886724	0	6	6	5
Thu Jan 25 13:25:18 2018	1516886718	1	5	6	5
Thu Jan 25 13:25:18 2018	1516886718	1	5	6	5
Thu Jan 25 13:25:20 2018	1516886720	0	6	6	6
Thu Jan 25 13:25:24 2018	1516886724	0	6	6	5
Thu Jan 25 13:25:19 2018	1516886719	0	6	6	6
Thu Jan 25 13:25:20 2018	1516886720	0	6	6	6
Thu Jan 25 13:25:20 2018	1516886720	0	6	6	6
Thu Jan 25 13:25:20 2018	1516886720	0	6	6	6
Thu Jan 25 13:25:20 2018	1516886720	0	6	6	6
Thu Jan 25 13:25:19 2018	1516886719	0	6	6	6
Thu Jan 25 13:25:19 2018	1516886719	0	6	6	6
Thu Jan 25 13:25:19 2018	1516886719	0	6	7	6
Thu Jan 25 13:25:20 2018	1516886720	0	6	7	6
Thu Jan 25 13:25:20 2018	1516886720	0	6	7	6
Thu Jan 25 13:25:20 2018	1516886720	0	6	7	6
Thu Jan 25 13:25:19 2018	1516886719	0	6	7	6
Thu Jan 25 13:25:19 2018	1516886719	0	6	7	6
Thu Jan 25 13:25:20 2018	1516886720	0	6	7	6
