starttime	seconds	ctime	dtime	ttime	wait
Thu Jan 25 14:35:54 2018	1516890954	0	51	52	51
Thu Jan 25 14:35:48 2018	1516890948	0	52	53	52
Thu Jan 25 14:36:02 2018	1516890962	1	53	54	53
Thu Jan 25 14:36:01 2018	1516890961	0	53	54	53
Thu Jan 25 14:35:48 2018	1516890948	0	54	54	54
Thu Jan 25 14:35:59 2018	1516890959	0	54	54	54
Thu Jan 25 14:35:54 2018	1516890954	0	54	55	54
Thu Jan 25 14:35:45 2018	1516890945	0	54	55	54
Thu Jan 25 14:35:45 2018	1516890945	0	55	55	54
Thu Jan 25 14:36:01 2018	1516890961	0	54	55	54
Thu Jan 25 14:36:01 2018	1516890961	0	55	55	55
Thu Jan 25 14:36:01 2018	1516890961	0	55	56	55
Thu Jan 25 14:36:01 2018	1516890961	0	55	56	55
Thu Jan 25 14:35:51 2018	1516890951	1	55	56	55
Thu Jan 25 14:35:53 2018	1516890953	0	56	57	56
Thu Jan 25 14:35:57 2018	1516890957	0	56	57	56
Thu Jan 25 14:36:01 2018	1516890961	0	56	57	56
Thu Jan 25 14:36:01 2018	1516890961	0	56	57	56
Thu Jan 25 14:36:01 2018	1516890961	1	56	57	56
Thu Jan 25 14:36:00 2018	1516890960	0	57	57	57
Thu Jan 25 14:35:58 2018	1516890958	0	57	57	57
Thu Jan 25 14:36:00 2018	1516890960	0	57	57	57
Thu Jan 25 14:36:01 2018	1516890961	0	57	57	57
Thu Jan 25 14:36:03 2018	1516890963	0	57	58	57
Thu Jan 25 14:36:01 2018	1516890961	0	57	58	57
Thu Jan 25 14:36:03 2018	1516890963	1	57	58	57
Thu Jan 25 14:36:03 2018	1516890963	0	57	58	57
Thu Jan 25 14:36:01 2018	1516890961	1	57	58	57
Thu Jan 25 14:36:03 2018	1516890963	0	57	58	57
Thu Jan 25 14:36:01 2018	1516890961	0	57	58	57
Thu Jan 25 14:36:01 2018	1516890961	0	58	58	57
Thu Jan 25 14:36:02 2018	1516890962	0	57	58	57
Thu Jan 25 14:36:02 2018	1516890962	0	58	58	58
Thu Jan 25 14:36:01 2018	1516890961	0	58	58	58
Thu Jan 25 14:36:01 2018	1516890961	0	58	58	58
Thu Jan 25 14:36:02 2018	1516890962	0	58	58	58
Thu Jan 25 14:35:56 2018	1516890956	0	58	58	58
Thu Jan 25 14:36:01 2018	1516890961	0	58	58	58
Thu Jan 25 14:36:01 2018	1516890961	1	58	58	58
Thu Jan 25 14:35:50 2018	1516890950	0	58	58	58
Thu Jan 25 14:36:01 2018	1516890961	1	58	58	58
Thu Jan 25 14:35:48 2018	1516890948	0	58	58	58
Thu Jan 25 14:36:01 2018	1516890961	1	58	59	58
Thu Jan 25 14:35:53 2018	1516890953	0	58	59	58
Thu Jan 25 14:35:57 2018	1516890957	0	58	59	58
Thu Jan 25 14:35:51 2018	1516890951	0	59	59	58
Thu Jan 25 14:35:46 2018	1516890946	0	59	59	59
Thu Jan 25 14:36:01 2018	1516890961	0	59	59	59
Thu Jan 25 14:35:49 2018	1516890949	0	59	59	59
Thu Jan 25 14:35:49 2018	1516890949	0	59	59	59
Thu Jan 25 14:35:46 2018	1516890946	0	59	60	59
Thu Jan 25 14:35:51 2018	1516890951	0	59	60	59
Thu Jan 25 14:35:51 2018	1516890951	0	59	60	59
Thu Jan 25 14:35:48 2018	1516890948	0	60	60	59
Thu Jan 25 14:35:46 2018	1516890946	1	59	60	59
Thu Jan 25 14:35:59 2018	1516890959	0	60	60	60
Thu Jan 25 14:35:46 2018	1516890946	0	60	60	60
Thu Jan 25 14:35:46 2018	1516890946	0	60	60	60
Thu Jan 25 14:35:46 2018	1516890946	0	60	60	60
Thu Jan 25 14:35:51 2018	1516890951	0	60	60	60
Thu Jan 25 14:35:54 2018	1516890954	0	60	60	60
Thu Jan 25 14:35:59 2018	1516890959	1	60	60	60
Thu Jan 25 14:35:51 2018	1516890951	0	60	60	60
Thu Jan 25 14:35:53 2018	1516890953	0	60	60	60
Thu Jan 25 14:35:53 2018	1516890953	0	60	60	60
Thu Jan 25 14:35:54 2018	1516890954	0	60	60	60
Thu Jan 25 14:35:53 2018	1516890953	0	60	61	60
Thu Jan 25 14:35:48 2018	1516890948	0	60	61	60
Thu Jan 25 14:35:54 2018	1516890954	0	60	61	60
Thu Jan 25 14:36:02 2018	1516890962	0	60	61	60
Thu Jan 25 14:35:47 2018	1516890947	0	61	61	60
Thu Jan 25 14:36:02 2018	1516890962	0	61	61	60
Thu Jan 25 14:35:49 2018	1516890949	0	61	61	61
Thu Jan 25 14:35:56 2018	1516890956	0	61	61	61
Thu Jan 25 14:35:47 2018	1516890947	0	61	61	61
Thu Jan 25 14:35:53 2018	1516890953	0	61	61	61
Thu Jan 25 14:35:51 2018	1516890951	0	61	61	61
Thu Jan 25 14:35:59 2018	1516890959	0	61	61	61
Thu Jan 25 14:35:46 2018	1516890946	0	61	61	61
Thu Jan 25 14:35:51 2018	1516890951	0	61	61	61
Thu Jan 25 14:36:03 2018	1516890963	0	61	62	61
Thu Jan 25 14:35:49 2018	1516890949	0	61	62	61
Thu Jan 25 14:35:59 2018	1516890959	0	61	62	61
Thu Jan 25 14:35:56 2018	1516890956	0	61	62	61
Thu Jan 25 14:35:58 2018	1516890958	0	61	62	61
Thu Jan 25 14:35:49 2018	1516890949	0	61	62	61
Thu Jan 25 14:35:56 2018	1516890956	0	61	62	61
Thu Jan 25 14:35:53 2018	1516890953	0	61	62	61
Thu Jan 25 14:35:56 2018	1516890956	0	61	62	61
Thu Jan 25 14:35:56 2018	1516890956	0	61	62	61
Thu Jan 25 14:35:52 2018	1516890952	0	61	62	61
Thu Jan 25 14:35:47 2018	1516890947	0	62	62	61
Thu Jan 25 14:35:53 2018	1516890953	0	62	62	62
Thu Jan 25 14:36:02 2018	1516890962	0	62	62	61
Thu Jan 25 14:35:54 2018	1516890954	0	62	62	62
Thu Jan 25 14:35:49 2018	1516890949	1	62	62	61
Thu Jan 25 14:36:01 2018	1516890961	0	62	62	62
Thu Jan 25 14:35:57 2018	1516890957	0	62	62	62
Thu Jan 25 14:35:47 2018	1516890947	0	62	62	62
Thu Jan 25 14:35:54 2018	1516890954	1	62	63	62
Thu Jan 25 14:35:54 2018	1516890954	0	62	63	62
Thu Jan 25 14:35:49 2018	1516890949	0	63	63	62
Thu Jan 25 14:35:46 2018	1516890946	0	63	63	63
Thu Jan 25 14:35:49 2018	1516890949	0	63	63	62
Thu Jan 25 14:35:48 2018	1516890948	0	63	63	63
Thu Jan 25 14:35:57 2018	1516890957	0	63	63	63
Thu Jan 25 14:35:53 2018	1516890953	0	63	63	63
Thu Jan 25 14:35:53 2018	1516890953	0	63	63	63
Thu Jan 25 14:36:02 2018	1516890962	0	63	63	63
Thu Jan 25 14:35:54 2018	1516890954	0	63	63	63
Thu Jan 25 14:35:54 2018	1516890954	0	63	64	63
Thu Jan 25 14:35:54 2018	1516890954	0	63	64	63
Thu Jan 25 14:35:54 2018	1516890954	0	63	64	63
Thu Jan 25 14:35:54 2018	1516890954	0	63	64	63
Thu Jan 25 14:35:54 2018	1516890954	0	63	64	63
Thu Jan 25 14:36:03 2018	1516890963	0	63	64	63
Thu Jan 25 14:35:54 2018	1516890954	0	63	64	63
Thu Jan 25 14:36:00 2018	1516890960	0	63	64	63
Thu Jan 25 14:35:54 2018	1516890954	0	63	64	63
Thu Jan 25 14:35:47 2018	1516890947	0	63	64	63
Thu Jan 25 14:35:54 2018	1516890954	1	63	64	63
Thu Jan 25 14:35:54 2018	1516890954	1	63	64	63
Thu Jan 25 14:35:54 2018	1516890954	1	63	64	63
Thu Jan 25 14:35:51 2018	1516890951	0	63	64	63
Thu Jan 25 14:35:53 2018	1516890953	0	64	64	63
Thu Jan 25 14:35:54 2018	1516890954	0	64	64	64
Thu Jan 25 14:35:54 2018	1516890954	0	64	64	64
Thu Jan 25 14:35:48 2018	1516890948	0	64	64	64
Thu Jan 25 14:35:46 2018	1516890946	0	64	64	64
Thu Jan 25 14:35:54 2018	1516890954	0	64	64	64
Thu Jan 25 14:35:48 2018	1516890948	1	64	64	63
Thu Jan 25 14:35:58 2018	1516890958	0	64	64	64
Thu Jan 25 14:35:54 2018	1516890954	0	64	64	63
Thu Jan 25 14:35:47 2018	1516890947	0	64	64	64
Thu Jan 25 14:35:50 2018	1516890950	0	64	64	64
