starttime	seconds	ctime	dtime	ttime	wait
Fri Jan 26 20:07:18 2018	1516997238	0	28	29	28
Fri Jan 26 20:07:20 2018	1516997240	0	30	31	30
Fri Jan 26 20:07:18 2018	1516997238	0	31	31	31
Fri Jan 26 20:07:18 2018	1516997238	0	31	31	31
Fri Jan 26 20:07:18 2018	1516997238	0	31	32	31
Fri Jan 26 20:07:18 2018	1516997238	0	31	32	31
Fri Jan 26 20:07:09 2018	1516997229	0	31	32	31
Fri Jan 26 20:07:18 2018	1516997238	0	32	32	32
Fri Jan 26 20:07:10 2018	1516997230	0	34	34	33
Fri Jan 26 20:07:12 2018	1516997232	0	35	35	35
Fri Jan 26 20:07:12 2018	1516997232	0	35	35	35
Fri Jan 26 20:07:12 2018	1516997232	0	35	35	35
Fri Jan 26 20:07:18 2018	1516997238	0	35	36	35
Fri Jan 26 20:07:10 2018	1516997230	0	35	36	35
Fri Jan 26 20:07:13 2018	1516997233	1	36	36	35
Fri Jan 26 20:07:20 2018	1516997240	0	36	36	36
Fri Jan 26 20:07:13 2018	1516997233	0	36	36	36
Fri Jan 26 20:07:13 2018	1516997233	0	36	36	36
Fri Jan 26 20:07:15 2018	1516997235	0	37	38	37
Fri Jan 26 20:07:19 2018	1516997239	0	37	38	37
Fri Jan 26 20:07:18 2018	1516997238	0	38	38	38
Fri Jan 26 20:07:18 2018	1516997238	0	39	40	39
Fri Jan 26 20:07:12 2018	1516997232	0	40	40	40
Fri Jan 26 20:07:19 2018	1516997239	0	40	40	40
Fri Jan 26 20:07:12 2018	1516997232	0	40	40	40
Fri Jan 26 20:07:18 2018	1516997238	0	40	40	40
Fri Jan 26 20:07:12 2018	1516997232	0	40	41	40
Fri Jan 26 20:07:19 2018	1516997239	1	40	41	40
Fri Jan 26 20:07:19 2018	1516997239	1	40	41	40
Fri Jan 26 20:07:17 2018	1516997237	0	41	42	41
Fri Jan 26 20:07:16 2018	1516997236	0	41	42	41
Fri Jan 26 20:07:12 2018	1516997232	0	41	42	41
Fri Jan 26 20:07:18 2018	1516997238	0	42	42	42
Fri Jan 26 20:07:18 2018	1516997238	0	42	42	42
Fri Jan 26 20:07:12 2018	1516997232	0	42	43	42
Fri Jan 26 20:07:12 2018	1516997232	0	42	43	42
Fri Jan 26 20:07:03 2018	1516997223	0	43	43	43
Fri Jan 26 20:07:14 2018	1516997234	0	43	43	43
Fri Jan 26 20:07:14 2018	1516997234	1	43	43	43
Fri Jan 26 20:07:14 2018	1516997234	0	43	44	43
Fri Jan 26 20:07:14 2018	1516997234	0	43	44	43
Fri Jan 26 20:07:14 2018	1516997234	1	43	44	43
Fri Jan 26 20:07:14 2018	1516997234	0	43	44	43
Fri Jan 26 20:07:14 2018	1516997234	0	43	44	43
Fri Jan 26 20:07:13 2018	1516997233	1	43	44	43
Fri Jan 26 20:07:12 2018	1516997232	0	44	44	44
