starttime	seconds	ctime	dtime	ttime	wait
Sat Jan 27 17:48:49 2018	1517075329	0	38	38	37
Sat Jan 27 17:48:51 2018	1517075331	0	41	41	41
Sat Jan 27 17:48:57 2018	1517075337	1	41	42	41
Sat Jan 27 17:48:49 2018	1517075329	0	43	43	43
Sat Jan 27 17:48:49 2018	1517075329	0	43	44	43
Sat Jan 27 17:48:49 2018	1517075329	0	43	44	43
Sat Jan 27 17:48:49 2018	1517075329	0	43	44	43
Sat Jan 27 17:48:52 2018	1517075332	0	44	44	43
Sat Jan 27 17:48:52 2018	1517075332	0	44	44	44
Sat Jan 27 17:49:00 2018	1517075340	0	44	44	44
Sat Jan 27 17:48:49 2018	1517075329	1	44	45	44
Sat Jan 27 17:48:47 2018	1517075327	0	45	45	45
Sat Jan 27 17:49:00 2018	1517075340	0	45	45	45
Sat Jan 27 17:48:49 2018	1517075329	0	46	46	46
Sat Jan 27 17:48:47 2018	1517075327	2	44	46	44
Sat Jan 27 17:48:59 2018	1517075339	0	46	46	46
Sat Jan 27 17:48:57 2018	1517075337	1	46	47	46
Sat Jan 27 17:48:59 2018	1517075339	0	46	47	46
Sat Jan 27 17:48:47 2018	1517075327	2	45	47	45
Sat Jan 27 17:48:57 2018	1517075337	1	46	47	46
Sat Jan 27 17:48:59 2018	1517075339	0	46	47	46
Sat Jan 27 17:48:59 2018	1517075339	0	46	47	46
Sat Jan 27 17:48:57 2018	1517075337	0	46	47	46
Sat Jan 27 17:48:57 2018	1517075337	0	46	47	46
Sat Jan 27 17:48:52 2018	1517075332	0	47	47	47
Sat Jan 27 17:48:47 2018	1517075327	2	45	47	45
Sat Jan 27 17:48:57 2018	1517075337	1	47	47	47
Sat Jan 27 17:48:59 2018	1517075339	0	47	48	47
Sat Jan 27 17:48:51 2018	1517075331	0	47	48	47
Sat Jan 27 17:48:51 2018	1517075331	0	47	48	47
Sat Jan 27 17:49:00 2018	1517075340	0	47	48	47
Sat Jan 27 17:48:57 2018	1517075337	0	48	48	48
Sat Jan 27 17:48:58 2018	1517075338	1	47	48	47
Sat Jan 27 17:48:51 2018	1517075331	1	48	48	47
Sat Jan 27 17:48:51 2018	1517075331	0	48	48	48
Sat Jan 27 17:48:59 2018	1517075339	0	48	48	48
Sat Jan 27 17:48:55 2018	1517075335	0	48	48	48
Sat Jan 27 17:48:47 2018	1517075327	0	48	48	48
Sat Jan 27 17:48:59 2018	1517075339	0	48	49	48
Sat Jan 27 17:48:59 2018	1517075339	0	48	49	48
Sat Jan 27 17:48:49 2018	1517075329	0	48	49	48
Sat Jan 27 17:49:00 2018	1517075340	0	48	49	48
Sat Jan 27 17:49:00 2018	1517075340	0	48	49	48
Sat Jan 27 17:48:57 2018	1517075337	0	49	49	49
Sat Jan 27 17:48:59 2018	1517075339	0	49	49	49
Sat Jan 27 17:49:00 2018	1517075340	0	49	49	48
Sat Jan 27 17:48:53 2018	1517075333	0	49	49	49
Sat Jan 27 17:48:53 2018	1517075333	0	49	49	49
Sat Jan 27 17:48:57 2018	1517075337	0	49	49	49
Sat Jan 27 17:48:53 2018	1517075333	0	49	49	49
Sat Jan 27 17:48:53 2018	1517075333	0	49	49	49
Sat Jan 27 17:48:57 2018	1517075337	0	49	49	49
Sat Jan 27 17:48:53 2018	1517075333	0	49	49	49
Sat Jan 27 17:48:55 2018	1517075335	0	49	49	49
Sat Jan 27 17:48:53 2018	1517075333	0	49	49	49
